"","year","site","nest","exp","type","laying_date","hatching_date","manip","male","female","chick1","chick2","chick3","chick4","chick5","chick6","X17"
"35",2006,"C",10,"U","U",518,612,NA,"CA013","CA034","CA218",NA,NA,NA,NA,NA,NA
"36",2006,"C",11,"U","U",513,NA,NA,"802109716","CA003",NA,NA,NA,NA,NA,NA,NA
"37",2006,"C",12,"U","U",514,608,NA,"CA054","CA010","CA095",NA,NA,NA,NA,NA,NA
"38",2006,"C",13,"U","U",522,616,NA,"CA008","CA036","CA167","CA174","CA175",NA,NA,NA,NA
"39",2006,"C",15,"U","U",515,NA,NA,"802109768","CA1528",NA,NA,NA,NA,NA,NA,NA
"40",2006,"C",16,"U","U",521,615,NA,"CA114","CA047","CA157","CA163","CA164",NA,NA,NA,NA
"41",2006,"C",17,"U","U",603,NA,NA,"CA220","CA219",NA,NA,NA,NA,NA,NA,NA
"42",2006,"C",18,"U","U",609,NA,NA,NA,"802109785",NA,NA,NA,NA,NA,NA,NA
"43",2006,"C",19,"U","U",607,NA,NA,"CA165","CA152",NA,NA,NA,NA,NA,NA,NA
"44",2006,"C",20,"U","U",608,703,NA,"CA107","CA137","CA302","CA304",NA,NA,NA,NA,NA
"45",2006,"C",21,"U","U",618,NA,NA,"CA231","CA002",NA,NA,NA,NA,NA,NA,NA
"46",2006,"C",22,"U","U",620,NA,NA,"CA233","CA262",NA,NA,NA,NA,NA,NA,NA
"47",2006,"C",23,"U","U",622,NA,NA,NA,"CA003",NA,NA,NA,NA,NA,NA,NA
"48",2006,"C",24,"U","U",621,NA,NA,"CA280","CA082",NA,NA,NA,NA,NA,NA,NA
"49",2006,"C",25,"U","U",619,NA,NA,"CA301","CA266",NA,NA,NA,NA,NA,NA,NA
"50",2006,"C",26,"U","U",626,NA,NA,NA,"CA314",NA,NA,NA,NA,NA,NA,NA
"51",2006,"C",27,"U","U",615,NA,NA,"CA235","802109771",NA,NA,NA,NA,NA,NA,NA
"52",2006,"C",28,"U","U",620,NA,NA,"CA029","CA1579",NA,NA,NA,NA,NA,NA,NA
"53",2006,"C",30,"U","U",612,707,NA,"802109780","CA310","CA313","CA315","CA321",NA,NA,NA,NA
"54",2006,"C",31,"U","U",613,NA,NA,"802109714","CA234",NA,NA,NA,NA,NA,NA,NA
"55",2006,"C",32,"U","U",620,NA,NA,"CA030","CA012",NA,NA,NA,NA,NA,NA,NA
"56",2006,"C",33,"U","U",618,NA,NA,"CA253","CA015",NA,NA,NA,NA,NA,NA,NA
"57",2006,"C",34,"U","U",626,NA,NA,NA,"CA1528",NA,NA,NA,NA,NA,NA,NA
"58",2006,"C",36,"U","U",701,NA,NA,NA,"802109729",NA,NA,NA,NA,NA,NA,NA
"59",2006,"C",37,"U","U",701,NA,NA,"CA026",NA,NA,NA,NA,NA,NA,NA,NA
"60",2006,"C",38,"U","U",628,NA,NA,"BX.WX|BX.OX",NA,NA,NA,NA,NA,NA,NA,NA
"61",2006,"C",39,"U","U",704,NA,NA,"CA165","CA152",NA,NA,NA,NA,NA,NA,NA
"62",2006,"C",105,"U","U",502,527,NA,"802122906","CA219","CA105","CA106","CA111",NA,NA,NA,NA
"63",2006,"C",106,"U","U",512,NA,NA,NA,"CA096",NA,NA,NA,NA,NA,NA,NA
"64",2006,"C",107,"U","U",506,601,NA,"YX.BX|BX.RX","RX.WX|RX.GX","CA038","CA041",NA,NA,NA,NA,NA
"65",2006,"C",108,"U","U",517,NA,NA,NA,"CA118",NA,NA,NA,NA,NA,NA,NA
"66",2006,"C",110,"U","U",513,NA,NA,"CA058","CA044",NA,NA,NA,NA,NA,NA,NA
"67",2006,"C",112,"U","U",520,614,NA,"802109735","CA134","CA145","CA146","CA150",NA,NA,NA,NA
"68",2006,"C",113,"U","U",605,630,NA,"CA166","CA140","CA269","CA275",NA,NA,NA,NA,NA
"69",2006,"C",201,"U","U",608,NA,NA,"CA139","CA014",NA,NA,NA,NA,NA,NA,NA
"70",2006,"C",206,"U","U",520,614,NA,NA,"CA136","CA147","CA148","CA149",NA,NA,NA,NA
"71",2006,"C",210,"U","U",601,626,NA,"CA201","CA151","CA249","CA250","CA251",NA,NA,NA,NA
"72",2006,"C",211,"U","U",531,625,NA,"CA098","CA096","CA246","CA267",NA,NA,NA,NA,NA
"73",2006,"C",212,"U","U",606,NA,NA,"CA153","CA158",NA,NA,NA,NA,NA,NA,NA
"74",2006,"C",213,"U","U",525,619,NA,"CA154","CA135","CA222","CA223","CA224",NA,NA,NA,NA
"75",2006,"C",214,"U","U",530,NA,NA,"CA156","CA202",NA,NA,NA,NA,NA,NA,NA
"76",2006,"D",118,"U","U",520,614,NA,"CA109","CA122","CA160","CA161","CA162",NA,NA,NA,NA
"77",2006,"D",114,"U","U",511,607,NA,"CA079","CA066","CA217",NA,NA,NA,NA,NA,NA
"78",2006,"D",23,"U","U",602,627,NA,"CA2224","CA198","CA254","CA255","CA256",NA,NA,NA,NA
"79",2006,"D",1,"U","U",424,519,NA,"802122919","BX.WX|GX.BX","802122932","802122933","802122936",NA,NA,NA,NA
"80",2006,"D",2,"U","U",502,527,NA,"BX.WX|gX.XX","802109785","CA004","CA016","CA017",NA,NA,NA,NA
"81",2006,"D",3,"U","U",507,NA,NA,"CA027",NA,NA,NA,NA,NA,NA,NA,NA
"82",2006,"D",4,"U","U",515,609,NA,"CA068","CA020","CA100","CA205","CA206",NA,NA,NA,NA
"83",2006,"D",5,"U","U",515,NA,NA,"CA026","CA039",NA,NA,NA,NA,NA,NA,NA
"84",2006,"D",6,"U","U",430,525,NA,NA,"CA014","CA005","CA006","CA009",NA,NA,NA,NA
"85",2006,"D",7,"U","U",524,618,NA,"CA040","CA025","CA182","CA183",NA,NA,NA,NA,NA
"86",2006,"D",8,"U","U",514,608,NA,"CA065","CA081","CA127","CA128","CA129",NA,NA,NA,NA
"87",2006,"D",9,"U","U",515,NA,NA,"CA067","CA082",NA,NA,NA,NA,NA,NA,NA
"88",2006,"D",10,"U","U",520,NA,NA,"802109790","CA021",NA,NA,NA,NA,NA,NA,NA
"89",2006,"D",11,"U","U",517,611,NA,"CA069","CA019","CA214","CA215",NA,NA,NA,NA,NA
"90",2006,"D",12,"U","U",518,NA,NA,NA,"CA018",NA,NA,NA,NA,NA,NA,NA
"91",2006,"D",13,"U","U",522,616,NA,"CA092","CA2082","CA227",NA,NA,NA,NA,NA,NA
"92",2006,"D",14,"U","U",526,620,NA,"802109746","CA133",NA,NA,NA,NA,NA,NA,NA
"93",2006,"D",15,"U","U",518,NA,NA,"CA093","CA132",NA,NA,NA,NA,NA,NA,NA
"94",2006,"D",16,"U","U",603,NA,NA,"CA138","802109729",NA,NA,NA,NA,NA,NA,NA
"95",2006,"D",17,"U","U",530,624,NA,"CA2073","CA173","CA237","CA238","CA239",NA,NA,NA,NA
"96",2006,"D",18,"U","U",611,706,NA,"CA180","CA190","CA312",NA,NA,NA,NA,NA,NA
"97",2006,"D",20,"U","U",531,NA,NA,"CA142","CA177",NA,NA,NA,NA,NA,NA,NA
"98",2006,"D",21,"U","U",529,623,NA,"CA143","802122911","CA232","CA236",NA,NA,NA,NA,NA
"99",2006,"D",22,"U","U",605,630,NA,"CA179","CA144","CA270","CA276",NA,NA,NA,NA,NA
"100",2006,"D",24,"U","U",612,707,NA,"CA230","CA245","CA319","CA320",NA,NA,NA,NA,NA
"101",2006,"D",25,"U","U",612,707,NA,"CA229","CA197","CA316","CA317","CA318",NA,NA,NA,NA
"102",2006,"D",26,"U","U",620,NA,NA,"CA240",NA,NA,NA,NA,NA,NA,NA,NA
"103",2006,"D",27,"U","U",620,NA,NA,"CA247","CA241",NA,NA,NA,NA,NA,NA,NA
"104",2006,"D",28,"U","U",605,630,NA,"CA104","CA242","CA271","CA272","CA273",NA,NA,NA,NA
"105",2006,"D",30,"U","U",619,NA,NA,"CA279","CA243",NA,NA,NA,NA,NA,NA,NA
"106",2006,"D",31,"U","U",525,619,NA,"CA168","RX.OX|RX.YX","CA188","CA192",NA,NA,NA,NA,NA
"107",2006,"D",32,"U","U",613,708,NA,"CA278","CA221","CA326","CA329",NA,NA,NA,NA,NA
"108",2006,"D",33,"U","U",605,630,NA,"CA170","CA193","CA274","CA277",NA,NA,NA,NA,NA
"109",2006,"D",34,"U","U",524,618,NA,"CA172","CA171","CA185","CA186",NA,NA,NA,NA,NA
"110",2006,"D",35,"U","U",609,704,NA,"CA181","CA189","CA305","CA306","CA311",NA,NA,NA,NA
"111",2006,"D",36,"U","U",603,628,NA,"CA027","CA191","CA260","CA261",NA,NA,NA,NA,NA
"112",2006,"D",37,"U","U",613,708,NA,"CA265","CA252","CA324","CA325",NA,NA,NA,NA,NA
"113",2006,"D",39,"U","U",613,708,NA,"802109745","CA226","CA322","CA323",NA,NA,NA,NA,NA
"114",2006,"D",40,"U","U",608,703,NA,"CA264","BX.WX|SX.","CA303",NA,NA,NA,NA,NA,NA
"115",2006,"D",41,"U","U",628,NA,NA,"BX.WX|gX.XX","CA112",NA,NA,NA,NA,NA,NA,NA
"116",2006,"D",42,"U","U",626,NA,NA,NA,"CA036",NA,NA,NA,NA,NA,NA,NA
"117",2006,"D",43,"U","U",609,704,NA,"CA308","CA307","CA309",NA,NA,NA,NA,NA,NA
"118",2006,"D",44,"U","U",625,NA,NA,"CA328",NA,NA,NA,NA,NA,NA,NA,NA
"119",2006,"D",45,"U","U",701,NA,NA,"CA327",NA,NA,NA,NA,NA,NA,NA,NA
"120",2006,"D",46,"U","U",628,NA,NA,NA,"CA019",NA,NA,NA,NA,NA,NA,NA
"121",2006,"D",47,"U","U",703,NA,NA,NA,"CA141",NA,NA,NA,NA,NA,NA,NA
"122",2006,"D",101,"U","U",506,NA,NA,"CA180","CA190",NA,NA,NA,NA,NA,NA,NA
"123",2006,"D",102,"U","U",504,529,NA,"802122915","802122910","CA024",NA,NA,NA,NA,NA,NA
"124",2006,"D",103,"U","U",502,NA,NA,"CA264","BX.WX|SX.",NA,NA,NA,NA,NA,NA,NA
"125",2006,"D",107,"U","U",520,NA,NA,"CA115","CA064",NA,NA,NA,NA,NA,NA,NA
"126",2006,"D",108,"U","U",515,NA,NA,"CA062","CA117",NA,NA,NA,NA,NA,NA,NA
"127",2006,"D",111,"U","U",518,NA,NA,"CA107",NA,NA,NA,NA,NA,NA,NA,NA
"128",2006,"D",112,"U","U",521,NA,NA,"CA108",NA,NA,NA,NA,NA,NA,NA,NA
"129",2006,"D",113,"U","U",512,606,NA,"CA078","CA063","CA119","CA120","CA121",NA,NA,NA,NA
"130",2006,"D",116,"U","U",526,620,NA,"802109713","BX.WX|BX.SX","CA194","CA195","CA196",NA,NA,NA,NA
"131",2006,"D",117,"U","U",510,604,NA,"CA049","CA060","CA059",NA,NA,NA,NA,NA,NA
"132",2006,"D",119,"U","U",526,620,NA,"CA048","CA061","CA199","CA200","CA225",NA,NA,NA,NA
"133",2006,"D",120,"U","U",608,NA,NA,"CA155","CA216",NA,NA,NA,NA,NA,NA,NA
"134",2006,"D",202,"U","U",603,628,NA,"CA210","CA099","CA258","CA263",NA,NA,NA,NA,NA
"135",2006,"D",203,"U","U",603,628,NA,"CA211","BX.WX|GX.BX","CA257",NA,NA,NA,NA,NA,NA
"136",2006,"D",204,"U","U",601,NA,NA,"RX.YX|RX.sX","CA141",NA,NA,NA,NA,NA,NA,NA
"137",2006,"E",1,"U","U",508,NA,NA,"CA031","CA035",NA,NA,NA,NA,NA,NA,NA
"138",2006,"E",2,"U","U",606,NA,NA,"CA178","CA159",NA,NA,NA,NA,NA,NA,NA
"139",2006,"F",1,"U","U",610,NA,NA,NA,"CA2085",NA,NA,NA,NA,NA,NA,NA
"140",2007,"A",-2,"U","U",NA,NA,NA,NA,NA,"CA1447","CA1448","CA1462",NA,NA,NA,NA
"141",2007,"A",-1,"U","U",NA,NA,NA,"CA139","CA2036","CA1220","CA1221","CA1222",NA,NA,NA,NA
"142",2007,"A",1,"ParCare","CF2",503,528,526,"802109735","CA262","CA1239","CA1240",NA,NA,NA,NA,NA
"143",2007,"A",2,"ParCare","CFD4",503,NA,530,"CA008","CA1254","CA1293","CA1415",NA,NA,NA,NA,NA
"144",2007,"A",3,"ParCare","CF2",504,529,528,"CA123","CA1528","CA1286","CA1289",NA,NA,NA,NA,NA
"145",2007,"A",4,"U","U",507,601,NA,"CA110","CA226","CA1296","CA1429","CA1413","CA1414",NA,NA,NA
"146",2007,"A",5,"ParCare","CF2",505,530,528,"CA1260","CA1255","CA1288","CA1287",NA,NA,NA,NA,NA
"147",2007,"A",6,"ParCare","CF2",503,528,527,"CA1259","CA1256","CA1285","CA1283",NA,NA,NA,NA,NA
"148",2007,"A",7,"ParCare","CF2",515,609,609,"CA1234","CA072","CA1431","CA1434",NA,NA,NA,NA,NA
"149",2007,"A",8,"U","U",519,613,NA,"CA220","CA177","CA1311","CA1445","unringed",NA,NA,NA,NA
"150",2007,"A",9,"ParCare","CF2",517,611,609,"CA1301","CA1281","CA1306","CA1307",NA,NA,NA,NA,NA
"151",2007,"A",102,"ParCare","CF2",428,523,521,"CA115","CA1210","CA1231","CA1233",NA,NA,NA,NA,NA
"152",2007,"A",103,"ParCare","CF2",507,531,530,"CA1223","CA1253","CA1295",NA,NA,NA,NA,NA,NA
"153",2007,"A",104,"U","U",517,NA,NA,"CA1272","CA1279",NA,NA,NA,NA,NA,NA,NA
"154",2007,"A",106,"ParCare","CF2",521,615,613,"CA138","802109729","CA1315","CA1446",NA,NA,NA,NA,NA
"155",2007,"A",107,"U","U",531,NA,NA,"CA2040","CA1273",NA,NA,NA,NA,NA,NA,NA
"156",2007,"A",108,"U","U",516,NA,NA,"CA166","CA060",NA,NA,NA,NA,NA,NA,NA
"157",2007,"A",109,"U","U",605,NA,NA,"CA098","CA101",NA,NA,NA,NA,NA,NA,NA
"158",2007,"A",110,"ParCare","CFD3",530,NA,609,"CA2073","CA015","CA1433","CA1436","CA1437",NA,NA,NA,NA
"159",2007,"A",111,"U","U",521,NA,NA,NA,"CA2082",NA,NA,NA,NA,NA,NA,NA
"160",2007,"A",112,"ParCare","CF2",515,609,609,"CA1300","CA1302","CA1432","CA1435","CA1303",NA,NA,NA,NA
"161",2007,"A",113,"ParCare","CF2",525,619,618,"CA1310","CA1297","CA1322","CA1324",NA,NA,NA,NA,NA
"162",2007,"A",114,"U","U",605,NA,NA,"CA247","802109785",NA,NA,NA,NA,NA,NA,NA
"163",2007,"A",115,"ParCare","CFD2",522,616,613,"CA1425","CA1280","CA1449","CA1461","CA1316","CA1317",NA,NA,NA
"164",2007,"A",117,"U","U",609,NA,NA,"CA093","CA1251",NA,NA,NA,NA,NA,NA,NA
"165",2007,"A",118,"ParCare","CFD4",530,624,617,"CA1320","CA1298","CA1325","CA1451","CA1453","CA1458","CA1466","CA1471",NA
"166",2007,"A",119,"ParCare","CF2",523,617,617,"CA1309","CA1299","CA1455","CA1456","CA1454",NA,NA,NA,NA
"167",2007,"A",120,"ParCare","CF2",523,NA,613,"802109713","CA152",NA,NA,NA,NA,NA,NA,NA
"168",2007,"A",121,"ParCare","CF2",527,621,620,"CA1336","CA171","CA1338",NA,NA,NA,NA,NA,NA
"169",2007,"A",122,"ParCare","CF2",531,625,624,"CA172","CA1331","CA1344","CA1347",NA,NA,NA,NA,NA
"170",2007,"A",123,"U","U",516,610,NA,NA,"CA044","CA1304","CA1305","CA1308",NA,NA,NA,NA
"171",2007,"A",124,"ParCare","CFD3",603,628,626,"CA1313","CA1210","CA1373","CA1351","CA1374",NA,NA,NA,NA
"172",2007,"A",125,"ParCare","CF2",603,628,626,"CA235","CA204","CA1375","CA1372",NA,NA,NA,NA,NA
"173",2007,"A",126,"U","U",NA,NA,NA,"CA178","CA216",NA,NA,NA,NA,NA,NA,NA
"174",2007,"A",127,"U","U",607,702,NA,"CA2040","CA1273","CA1390","CA1391",NA,NA,NA,NA,NA
"175",2007,"A",128,"ParCare","CF2",601,626,625,"CA1314","CA125","CA1348","CA1481",NA,NA,NA,NA,NA
"176",2007,"A",129,"U","U",610,NA,NA,"CA1321","CA1330",NA,NA,NA,NA,NA,NA,NA
"177",2007,"A",130,"ParCare","CF2",604,629,627,"CA143","CA081","CA1378","CA1379",NA,NA,NA,NA,NA
"178",2007,"A",131,"ParCare","CF2",603,628,626,"RX.gX|BX.WX","CA1332","CA1376","CA1377",NA,NA,NA,NA,NA
"179",2007,"A",132,"U","U",602,627,NA,"CA1319","CA1333","CA1492","CA1493","CA1494","CA1524",NA,NA,NA
"180",2007,"A",133,"ParCare","CF2",523,617,617,"CA1312","CA1318","CA1452",NA,NA,NA,NA,NA,NA
"181",2007,"A",134,"U","U",607,702,NA,"CA1349","CA1371","CA1389","CA1388","CA1387",NA,NA,NA,NA
"182",2007,"A",202,"U","U",506,601,NA,"802109716","CA1268","CA1418","CA1420","CA1421",NA,NA,NA,NA
"183",2007,"A",203,"ParCare","CF2",506,601,530,"CA108","CA190","CA1411","CA1412","CA1427",NA,NA,NA,NA
"184",2007,"A",204,"ParCare","CF2",430,525,523,"CA069","CA035","CA1274","CA1275",NA,NA,NA,NA,NA
"185",2007,"A",205,"U","U",509,NA,NA,"CA1230","CA266",NA,NA,NA,NA,NA,NA,NA
"186",2007,"A",206,"U","U",505,530,NA,"CA1229","CA2037","CA1291","CA1294","CA1428",NA,NA,NA,NA
"187",2007,"A",207,"U","U",511,605,NA,"CA048","CA1267","CA1422","CA1423",NA,NA,NA,NA,NA
"188",2007,"A",301,"ParCare","CF2",601,625,624,"CA153","CA151","CA1345","CA1346",NA,NA,NA,NA,NA
"189",2007,"B",-1,"U","U",NA,NA,NA,"CA168",NA,"CA1215","CA1216",NA,NA,NA,NA,NA
"190",2007,"B",1,"U","U",424,518,NA,"RX.MX|YX.BX","CA034","CA1269",NA,NA,NA,NA,NA,NA
"191",2007,"B",2,"U","U",430,NA,NA,"CA138","802109729",NA,NA,NA,NA,NA,NA,NA
"192",2007,"B",3,"U","U",418,NA,NA,"CA093","CA1251",NA,NA,NA,NA,NA,NA,NA
"193",2007,"B",4,"ParCare","CF2",504,529,527,"802122925","CA112","CA1282","CA1284",NA,NA,NA,NA,NA
"194",2007,"B",5,"ParCare","CF all & CFD1",601,626,624,"CA1343","BX.WX|BX.SX",NA,NA,NA,NA,NA,NA,NA
"195",2007,"B",6,"U","U",610,705,NA,"CA279","CA132","CA1365","CA1366","CA1367",NA,NA,NA,NA
"196",2007,"B",7,"U","U",531,NA,NA,"CA051","CA1323",NA,NA,NA,NA,NA,NA,NA
"197",2007,"B",8,"ParCare","CF all",615,NA,624,"CA247","802109785","CA1483","CA1484","CA1485","CA1486",NA,NA,NA
"198",2007,"B",9,"U","U",623,NA,NA,NA,"CA226",NA,NA,NA,NA,NA,NA,NA
"199",2007,"B",101,"ParCare","CF2",503,528,526,"CA1270","CA1258","CA1242","CA1243",NA,NA,NA,NA,NA
"200",2007,"B",102,"U","U",531,NA,NA,"CA1226","CA1266",NA,NA,NA,NA,NA,NA,NA
"201",2007,"B",103,"U","U",422,517,NA,"CA078","CA1265","CA1218","CA1219",NA,NA,NA,NA,NA
"202",2007,"B",104,"ParCare","CF2",517,611,609,"CA043","CA243","CA1439","CA1438",NA,NA,NA,NA,NA
"203",2007,"B",105,"U","U",518,612,NA,NA,"CA1271","CA1440","CA1441","CA1442",NA,NA,NA,NA
"204",2007,"B",106,"ParCare","CF2",531,625,625,"CA230","CA136","CA1490","CA1480",NA,NA,NA,NA,NA
"205",2007,"B",107,"ParCare","CF2",604,629,627,"CA1335","CA035","CA1498","CA1497",NA,NA,NA,NA,NA
"206",2007,"B",108,"ParCare","CF2",601,626,625,"CA127","CA1334","CA1487","CA1495",NA,NA,NA,NA,NA
"207",2007,"B",109,"ParCare","CFD2",NA,NA,627,"RX.MX|YX.BX",NA,"CA1356",NA,NA,NA,NA,NA,NA
"208",2007,"B",301,"U","U",707,NA,NA,"CA1457","CA2037",NA,NA,NA,NA,NA,NA,NA
"209",2007,"C",1,"ParCare","CFD3",418,NA,521,"CA201","CA151","CA1227","CA1237",NA,NA,NA,NA,NA
"210",2007,"C",2,"U","U",423,NA,NA,"CA013","CA1257",NA,NA,NA,NA,NA,NA,NA
"211",2007,"C",3,"U","U",417,NA,NA,"CA220","CA177",NA,NA,NA,NA,NA,NA,NA
"212",2007,"C",4,"U","U",413,508,NA,"RX.YX|RX.GX","802109760","CA1202","CA1203","CA1204",NA,NA,NA,NA
"213",2007,"C",5,"U","U",415,NA,NA,"CA2221","CA1252",NA,NA,NA,NA,NA,NA,NA
"214",2007,"C",6,"ParCare","CFD2",420,NA,510,"CA156","802109785","CA1206","CA1261",NA,NA,NA,NA,NA
"215",2007,"C",7,"ParCare","CF2",415,510,510,"CA165","CA152","CA1205","CA1214",NA,NA,NA,NA,NA
"216",2007,"C",8,"ParCare","CF2",505,530,528,"CA029","CA1263","CA1248","CA1402",NA,NA,NA,NA,NA
"217",2007,"C",10,"ParCare","CF2",507,601,530,"CA1209","CA1262","CA1416","CA1417",NA,NA,NA,NA,NA
"218",2007,"C",11,"U","U",420,515,NA,"CA1207","CA1579","CA1212","CA1213",NA,NA,NA,NA,NA
"219",2007,"C",12,"U","U",430,525,NA,"CA1225","CA081","CA1235","CA1426","DEAD.CHICK.C12.2007",NA,NA,NA,NA
"220",2007,"C",13,"ParCare","CF2",506,531,530,"CA1224","CA1264","CA1409","CA1410",NA,NA,NA,NA,NA
"221",2007,"C",14,"ParCare","CFD4",424,NA,526,"802109768","CA216","CA1238","CA1241","CA1245","CA1246",NA,NA,NA
"222",2007,"C",15,"ParCare","CF2",504,529,528,"CA057","CA132","CA1247","CA1290",NA,NA,NA,NA,NA
"223",2007,"C",16,"U","U",528,NA,NA,"CA1430","CA1424",NA,NA,NA,NA,NA,NA,NA
"224",2007,"C",17,"ParCare","CF2",610,705,704,"CA129","CA1217","CA1392",NA,NA,NA,NA,NA,NA
"225",2007,"C",102,"ParCare","CF2",429,524,523,"802109746","CA014","CA1236","CA1244",NA,NA,NA,NA,NA
"226",2007,"C",103,"U","U",613,NA,NA,"CA328","CA126",NA,NA,NA,NA,NA,NA,NA
"227",2007,"C",104,"U","U",615,710,NA,"CA1272","RX.WX|YX.WX","CA1521","CA1522",NA,NA,NA,NA,NA
"228",2007,"C",301,"ParCare","CFD3",NA,NA,625,"CA324","CA045","CA1479","CA1488","CA1489",NA,NA,NA,NA
"229",2007,"C",302,"U","U",702,NA,NA,"CA057","CA177",NA,NA,NA,NA,NA,NA,NA
"230",2007,"C",303,"U","U",605,630,NA,"CA1383","CA1382","CA1380","CA1381",NA,NA,NA,NA,NA
"231",2007,"C",304,"U","U",604,NA,NA,"802109713",NA,NA,NA,NA,NA,NA,NA,NA
"232",2007,"C",305,"U","U",705,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"233",2007,"D",-3,"U","U",NA,NA,NA,NA,NA,"CA1357",NA,NA,NA,NA,NA,NA
"234",2007,"D",-2,"U","U",NA,NA,NA,NA,NA,"CA1482",NA,NA,NA,NA,NA,NA
"235",2007,"D",-1,"U","U",NA,NA,NA,"CA2224",NA,"CA1474","CA1475",NA,NA,NA,NA,NA
"236",2007,"D",1,"U","U",606,NA,NA,NA,"CA266",NA,NA,NA,NA,NA,NA,NA
"237",2007,"D",2,"ParCare","CF2",429,524,521,"RX.YX|RX.sX","CA141","CA1232","CA1228",NA,NA,NA,NA,NA
"238",2007,"D",3,"ParCare","CFD2",505,530,528,"CA027","802122910","CA1405","CA1406","CA1403","CA1404","CA1249",NA,NA
"239",2007,"D",4,"ParCare","CFD2",505,530,528,"CA180","CA1217","CA1407","CA1408","CA1250","CA1401",NA,NA,NA
"240",2007,"D",5,"U","U",504,NA,NA,"802122915","BX.WX|SX.",NA,NA,NA,NA,NA,NA,NA
"241",2007,"D",6,"U","U",604,629,NA,"RX.YX|RX.GX","CA1450","CA1352","CA1353",NA,NA,NA,NA,NA
